"id","title","url","category","topic","order","weight","description","key_concepts","code_examples_count","tables_count","tips_count"
"24","Amazon Bedrock","https://code.claude.com/docs/en/amazon-bedrock","Deployment","Cloud Provider","24","8","Configuration through Amazon Bedrock, including setup, IAM configuration, and troubleshooting","Prerequisites; Setup; Submit use case details; Configure AWS credentials; Configure Claude Code; Model configuration; Output token configuration; IAM configuration; AWS Guardrails; Troubleshooting","12","0","5"
"25","Google Vertex AI","https://code.claude.com/docs/en/google-vertex-ai","Deployment","Cloud Provider","25","8","Configuration through Google Vertex AI, including setup, IAM configuration, and troubleshooting","Prerequisites; Region Configuration; Setup; Enable Vertex AI API; Request model access; Configure GCP credentials; Configure Claude Code; Model configuration; IAM configuration; 1M token context window; Troubleshooting","10","0","4"
"26","Microsoft Foundry","https://code.claude.com/docs/en/microsoft-foundry","Deployment","Cloud Provider","26","7","Configuration through Microsoft Foundry, including setup, configuration, and troubleshooting","Prerequisites; Setup; Provision Microsoft Foundry resource; Configure Azure credentials; Configure Claude Code; Azure RBAC configuration; Troubleshooting","6","0","3"
"27","Network Configuration","https://code.claude.com/docs/en/network-config","Deployment","Network","27","7","Configure Claude Code for enterprise environments with proxy servers, custom CAs, and mTLS authentication","Proxy configuration; Environment variables; Basic authentication; Custom CA certificates; mTLS authentication; Network access requirements","4","0","4"
"28","LLM Gateway","https://code.claude.com/docs/en/llm-gateway","Deployment","Gateway","28","7","Configure Claude Code to work with LLM gateway solutions covering requirements and authentication","Gateway requirements; Configuration; Model selection; LiteLLM configuration; Prerequisites; Basic LiteLLM setup; Authentication methods; Unified endpoint; Provider-specific pass-through endpoints","8","0","2"
"29","Development Containers","https://code.claude.com/docs/en/devcontainer","Deployment","DevContainer","29","7","Claude Code development container for teams needing consistent, secure environments","Key features; Getting started in 4 steps; Configuration breakdown; Security features; Customization options; Example use cases","0","0","1"
"30","Sandboxing","https://code.claude.com/docs/en/sandboxing","Deployment","Security","30","8","Understand sandboxed bash tool's filesystem and network isolation for safer agent execution","Overview; Why sandboxing matters; How it works; Filesystem isolation; Network isolation; OS-level enforcement; Getting started; Prerequisites; Enable sandboxing; Sandbox modes; Configure sandboxing; Security benefits; Security Limitations; Advanced usage; Best practices; Open source; Limitations","5","0","4"
"31","Setup Guide","https://code.claude.com/docs/en/setup","Administration","Installation","31","10","Installation, authentication, and getting started on your development machine","System requirements; Installation; Authentication; Install a specific version; Binary integrity; NPM installation; Windows setup; Update Claude Code; Auto updates; Release channel; Disable auto-updates; Update manually; Uninstall Claude Code","15","2","6"
"32","Identity and Access Management","https://code.claude.com/docs/en/iam","Administration","Security","32","9","Configure user authentication, authorization, and access controls for your organization","Authentication methods; Claude for Teams or Enterprise; Claude Console authentication; Cloud provider authentication; Access control and permissions; Permission system; Configuring permissions; Permission modes; Working directories; Tool-specific permission rules; Additional permission control with hooks; Managed settings; Settings precedence; Credential management","8","3","4"
"33","Security","https://code.claude.com/docs/en/security","Administration","Security","33","10","Security safeguards and best practices for safe usage","How we approach security; Security foundation; Permission-based architecture; Built-in protections; User responsibility; Protect against prompt injection; Core protections; Privacy safeguards; Additional safeguards; MCP security; IDE security; Cloud execution security; Security best practices; Working with sensitive code; Team security; Reporting security issues","0","0","6"
"34","Data Usage","https://code.claude.com/docs/en/data-usage","Administration","Privacy","34","8","Anthropic's data usage policies for Claude","Data policies; Data training policy; Development Partner Program; Feedback using /bug command; Session quality surveys; Data retention; Data access; Local Claude Code data flow; Cloud execution data flow; Telemetry services; Default behaviors by API provider","0","2","3"
"35","Monitoring Usage","https://code.claude.com/docs/en/monitoring-usage","Administration","Monitoring","35","7","Enable and configure OpenTelemetry for Claude Code","Quick start; Administrator configuration; Configuration details; Common configuration variables; Metrics cardinality control; Dynamic headers; Multi-team organization support; Example configurations; Available metrics and events; Standard attributes; Metrics; Metric details; Events; Interpreting metrics and events data; Backend considerations; Service information; ROI measurement resources; Security/privacy considerations; Monitoring Claude Code on Amazon Bedrock","6","5","4"
"36","Cost Management","https://code.claude.com/docs/en/costs","Administration","Costs","36","8","Track token usage, set spend limits, and reduce costs with context management and model selection","Track your costs; Using the /cost command; Managing costs for teams; Rate limit recommendations; Reduce token usage; Manage context proactively; Choose the right model; Reduce MCP server overhead; Install code intelligence plugins; Offload processing to hooks and skills; Move instructions from CLAUDE.md to skills; Adjust extended thinking; Delegate verbose operations to subagents; Write specific prompts; Work efficiently; Background token usage; Understanding changes in Claude Code behavior","2","1","3"
"37","Analytics","https://code.claude.com/docs/en/analytics","Administration","Analytics","37","6","View detailed usage insights and productivity metrics for your organization's Claude Code deployment","Access analytics; Required roles; Available metrics; Lines of code accepted; Suggestion accept rate; Activity; Spend; Team insights; Using analytics effectively; Monitor adoption; Measure productivity","0","0","2"
"38","Plugin Marketplaces","https://code.claude.com/docs/en/plugin-marketplaces","Administration","Plugins","38","7","Build and host plugin marketplaces to distribute Claude Code extensions across teams and communities","Overview; Walkthrough create a local marketplace; Create the marketplace file; Marketplace schema; Plugin entries; Plugin sources; Host and distribute marketplaces; Require marketplaces for your team; Managed marketplace restrictions; Validation and testing; Troubleshooting","12","6","4"
"39","Settings","https://code.claude.com/docs/en/settings","Configuration","Settings","39","10","Configure global and project-level settings and environment variables","Configuration scopes; Available scopes; When to use each scope; How scopes interact; Settings files; Available settings; Permission settings; Permission rule syntax; Sandbox settings; Attribution settings; File suggestion settings; Hook configuration; Settings precedence; System prompt; Excluding sensitive files; Subagent configuration; Plugin configuration; Environment variables; Tools available to Claude; Bash tool behavior; Extending tools with hooks","20","4","8"
"40","Terminal Configuration","https://code.claude.com/docs/en/terminal-config","Configuration","Terminal","40","6","Guidelines for optimizing your terminal configuration for Claude Code","Themes and appearance; Line breaks; Notification setup; iTerm 2 system notifications; Custom notification hooks; Handling large inputs; Vim Mode","4","0","3"
"41","Model Configuration","https://code.claude.com/docs/en/model-config","Configuration","Models","41","8","Claude Code model configuration, including model aliases like opusplan","Available models; Model aliases; Setting your model; Special model behavior; default model setting; opusplan model setting; Extended context with [1m]; Checking your current model; Environment variables; Prompt caching configuration","6","2","4"
"42","Memory Management","https://code.claude.com/docs/en/memory","Configuration","Memory","42","8","Manage Claude Code's memory across sessions with different memory locations and best practices","Determine memory type; CLAUDE.md imports; How Claude looks up memories; Directly edit memories with /memory; Set up project memory; Modular rules with .claude/rules/; Basic structure; Path-specific rules; Glob patterns; Subdirectories; Symlinks; User-level rules; Organization-level memory management; Memory best practices","8","1","5"
"43","Status Line Configuration","https://code.claude.com/docs/en/statusline","Configuration","Display","43","5","Create a custom status line for Claude Code to display contextual information","Create a custom status line; How it Works; JSON Input Structure; Example Scripts; Simple Status Line; Git-Aware Status Line; Python Example; Node.js Example; Helper Function Approach; Context Window Usage; Tips; Troubleshooting","8","0","2"
"44","Keybindings","https://code.claude.com/docs/en/keybindings","Configuration","Input","44","6","Configure keybindings with a keybindings configuration file","Configuration file structure; Contexts; Available actions; Keystroke syntax; Reserved shortcuts; Terminal conflicts; Vim mode interaction","6","3","4"
"45","Interactive Mode","https://code.claude.com/docs/en/interactive-mode","Reference","Interface","45","8","Keyboard shortcuts, input modes, and interactive features in Claude Code sessions","Keyboard shortcuts; General controls; Text editing; Theme and display; Multiline input; Quick commands; Built-in commands; MCP prompts; Vim editor mode; Mode switching; Navigation; Editing; Text objects; Command history; Reverse search; Background bash commands; Task list","0","8","4"
"46","Checkpointing","https://code.claude.com/docs/en/checkpointing","Reference","Version Control","46","7","Automatically track and rewind Claude's edits to recover from unwanted changes","How checkpoints work; Automatic tracking; Rewinding changes; Common use cases; Limitations; Bash command changes not tracked; External changes not tracked; Not a replacement for version control","3","0","2"
"47","Hooks Reference","https://code.claude.com/docs/en/hooks","Reference","Hooks","47","9","Reference documentation for implementing hooks that fire at specific points during a Claude Code session","Hook lifecycle; Configuration; Structure; Project-Specific Hook Scripts; Plugin hooks; Hooks in skills and agents; Prompt-Based Hooks; Hook Events; PreToolUse; PermissionRequest; PostToolUse; Notification; UserPromptSubmit; Stop; SubagentStop; PreCompact; Setup; SessionStart; SessionEnd; Hook Input; Hook Output; Working with MCP Tools; Examples; Security Considerations; Hook Execution Details; Debugging","25","4","8"
"48","Plugins Reference","https://code.claude.com/docs/en/plugins-reference","Reference","Plugins","48","8","Complete technical reference for plugin system including schemas, CLI commands, and component specifications","Plugin components reference; Skills; Agents; Hooks; MCP servers; LSP servers; Plugin installation scopes; Plugin manifest schema; Path behavior rules; Environment variables; Plugin caching and file resolution; Plugin directory structure; CLI commands reference; Debugging and development tools; Distribution and versioning reference","15","7","3"
"49","CLI Reference","https://code.claude.com/docs/en/cli-reference","Reference","CLI","49","10","Complete reference for Claude Code command-line interface, including commands and flags","CLI commands; CLI flags; Agents flag format; System prompt flags","0","3","1"
"50","Troubleshooting","https://code.claude.com/docs/en/troubleshooting","Reference","Support","50","8","Solutions to common issues with Claude Code installation and usage","Common installation issues; Windows installation issues; WSL2 sandbox setup; Linux and Mac installation issues; Native installation; Windows Git Bash requirement; Windows PATH not found; Permissions and authentication; Configuration file locations; Resetting configuration; Performance and stability; Search and discovery issues; Slow or incomplete search on WSL; IDE integration issues; Markdown formatting issues; Getting more help","12","1","4"
"51","Legal and Compliance","https://code.claude.com/docs/en/legal-and-compliance","Resources","Legal","51","5","Legal agreements, compliance certifications, and security information","Legal agreements; License; Commercial agreements; Compliance; Healthcare compliance (BAA); Security and trust; Trust and safety; Security vulnerability reporting","0","0","2"
"52","Changelog","https://code.claude.com/docs/en/changelog","Resources","Updates","52","4","Version history and updates for Claude Code","Version history; Feature updates; Bug fixes; Breaking changes","0","0","0"
