"category","subcategory","item","type","description","example_or_value","related_topic"
"Deployment","Providers","Microsoft Foundry","provider","Azure infrastructure","","Deployment"
"Deployment","Security","Sandboxing","security-feature","Filesystem/network isolation","/sandbox","Security"
"Deployment","Security","DevContainers","security-feature","Consistent secure environments",".devcontainer/","Security"
"Deployment","Security","Managed Settings","security-feature","Organization-wide policies","managed-settings.json","Security"
"Best Practices","Prompting","Be specific","practice","Include file names, function names, errors","","Best Practices"
"Best Practices","Prompting","Give verification targets","practice","Include tests, expected output, screenshots","","Best Practices"
"Best Practices","Prompting","Explore first","practice","Use Plan Mode before implementing","Shift+Tab twice","Best Practices"
"Best Practices","Session","Clear between tasks","practice","Use /clear for unrelated work","/clear","Best Practices"
"Best Practices","Session","Name sessions","practice","Use /rename for tracking","/rename feature-x","Best Practices"
"Best Practices","Session","Course-correct early","practice","Stop and redirect quickly","Esc to stop","Best Practices"
"Best Practices","Context","Use subagents for research","practice","Keep main context clean","use subagents to investigate X","Best Practices"
"Best Practices","Context","Manage aggressively","practice","Compact or clear when needed","/compact or /clear","Best Practices"
